Time	Sum	Command
82	8159	--> for item in chruby git go kubectl node php rustc virtual_env...
9	9	---> set -l cli_names $item
2	2	---> switch $item...
9	1915	---> if not type --query $cli_names...
228	228	----> not type --query $cli_names
1077	1509	----> _tide_find_and_remove $item tide_left_prompt_items
301	305	-----> source /Users/rjm/.config/fish/functions/_tide_find_and_remove.fish
4	4	------> function _tide_find_and_remove -a name list --no-scope-shadowing...
111	127	-----> set -l index (contains --index $name $$list)
16	16	------> contains --index $name $$list
51	169	----> _tide_find_and_remove $item tide_right_prompt_items
81	118	-----> set -l index (contains --index $name $$list)
37	37	------> contains --index $name $$list
13	13	---> set -l cli_names $item
10	10	---> switch $item...
5	933	---> if not type --query $cli_names...
928	928	----> not type --query $cli_names
19	19	---> set -l cli_names $item
18	18	---> switch $item...
15	1140	---> if not type --query $cli_names...
512	512	----> not type --query $cli_names
45	235	----> _tide_find_and_remove $item tide_left_prompt_items
158	190	-----> set -l index (contains --index $name $$list)
32	32	------> contains --index $name $$list
18	378	----> _tide_find_and_remove $item tide_right_prompt_items
347	360	-----> set -l index (contains --index $name $$list)
13	13	------> contains --index $name $$list
6	6	---> set -l cli_names $item
5	5	---> switch $item...
7	923	---> if not type --query $cli_names...
272	272	----> not type --query $cli_names
25	476	----> _tide_find_and_remove $item tide_left_prompt_items
440	451	-----> set -l index (contains --index $name $$list)
11	11	------> contains --index $name $$list
54	168	----> _tide_find_and_remove $item tide_right_prompt_items
81	114	-----> set -l index (contains --index $name $$list)
33	33	------> contains --index $name $$list
10	10	---> set -l cli_names $item
7	7	---> switch $item...
4	630	---> if not type --query $cli_names...
626	626	----> not type --query $cli_names
12	12	---> set -l cli_names $item
4	4	---> switch $item...
7	1099	---> if not type --query $cli_names...
164	164	----> not type --query $cli_names
27	699	----> _tide_find_and_remove $item tide_left_prompt_items
661	672	-----> set -l index (contains --index $name $$list)
11	11	------> contains --index $name $$list
48	229	----> _tide_find_and_remove $item tide_right_prompt_items
148	181	-----> set -l index (contains --index $name $$list)
33	33	------> contains --index $name $$list
13	13	---> set -l cli_names $item
9	9	---> switch $item...
8	709	---> if not type --query $cli_names...
701	701	----> not type --query $cli_names
18	18	---> set -l cli_names $item
7	10	---> switch $item...
3	3	----> set cli_names python python3
3	563	---> if not type --query $cli_names...
560	560	----> not type --query $cli_names
14	14	-> set -g _tide_prompt_var _tide_prompt_$fish_pid
11	11	-> function _tide_refresh_prompt --on-variable $_tide_prompt_var...
3	3	-> function fish_prompt...
2	2	-> function fish_right_prompt...
3	3	-> function _tide_on_fish_exit --on-event fish_exit...
158	4144	> fish_prompt
72	3945	-> if not set -e _tide_self_repainting...
17	17	--> not set -e _tide_self_repainting
247	247	--> jobs --query
916	916	--> fish --command "_tide_jobs_status=$status CMD_DURATION=$CMD_DURATION COLUMNS=$COLUMNS \
            fish_bind_mode=$fish_bind_mode set -U $_tide_prompt_var (_tide_prompt)" &
9	9	--> builtin disown
2627	2627	--> command kill $_tide_last_pid 2>/dev/null
57	57	--> set -g _tide_last_pid $last_pid
24	24	-> test "$tide_prompt_add_newline_before" = true
17	17	-> string unescape $$_tide_prompt_var[1][2..]
18	33	> fish_right_prompt
15	15	-> string unescape $$_tide_prompt_var[1][1]
366	372	> source /opt/homebrew/Cellar/fish/3.3.1/share/fish/functions/fish_title.fish
6	6	-> function fish_title...
21	731	> fish_title
8	710	-> if not set -q INSIDE_EMACS...
11	11	--> not set -q INSIDE_EMACS
166	691	--> echo (set -q argv[1] && echo $argv[1] || status current-command) (__fish_pwd)
7	7	---> set -q argv[1]
9	9	---> status current-command
188	509	---> __fish_pwd
208	213	----> source /opt/homebrew/Cellar/fish/3.3.1/share/fish/functions/__fish_pwd.fish
5	5	-----> function __fish_pwd --description "Show current path"...
9	108	----> if status test-feature regex-easyesc...
13	13	-----> status test-feature regex-easyesc
86	86	-----> string replace -r '^/cygdrive/(.)?' '\\\U$1:' -- $PWD
34	143	> _tide_refresh_prompt VARIABLE SET _tide_prompt_83635
11	11	-> set -g _tide_self_repainting
98	98	-> commandline --function repaint
11	55	> fish_prompt
15	20	-> if not set -e _tide_self_repainting...
5	5	--> not set -e _tide_self_repainting
7	7	-> test "$tide_prompt_add_newline_before" = true
17	17	-> string unescape $$_tide_prompt_var[1][2..]
48	72	> fish_right_prompt
24	24	-> string unescape $$_tide_prompt_var[1][1]
38	821	> fish_title
18	783	-> if not set -q INSIDE_EMACS...
26	26	--> not set -q INSIDE_EMACS
572	739	--> echo (set -q argv[1] && echo $argv[1] || status current-command) (__fish_pwd)
9	9	---> set -q argv[1]
14	14	---> status current-command
29	144	---> __fish_pwd
27	115	----> if status test-feature regex-easyesc...
13	13	-----> status test-feature regex-easyesc
75	75	-----> string replace -r '^/cygdrive/(.)?' '\\\U$1:' -- $PWD
22	40	> __fish_disable_bracketed_paste exit
18	18	-> printf "\e[?2004l"
4	13	> __fish_disable_focus exit
9	9	-> echo -n \e\[\?1004l
16	235	> fish_title exit
11	219	-> if not set -q INSIDE_EMACS...
6	6	--> not set -q INSIDE_EMACS
150	202	--> echo (set -q argv[1] && echo $argv[1] || status current-command) (__fish_pwd)
4	4	---> set -q argv[1]
6	6	---> echo $argv[1]
11	42	---> __fish_pwd
3	31	----> if status test-feature regex-easyesc...
7	7	-----> status test-feature regex-easyesc
21	21	-----> string replace -r '^/cygdrive/(.)?' '\\\U$1:' -- $PWD
178	178	> exit
20	38	> __fish_enable_focus exit
18	18	-> echo -n \e\[\?1004h
11	34	> __fish_disable_bracketed_paste
23	23	-> printf "\e[?2004l"
14	6436	> _tide_on_fish_exit
6375	6422	-> set -e $_tide_prompt_var
22	47	--> _tide_refresh_prompt VARIABLE ERASE _tide_prompt_83635
11	11	---> set -g _tide_self_repainting
14	14	---> commandline --function repaint
